tool,family,access,parameter,type,required,default,enum_values,parameter_class,description
export_all,Sync VBA,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
export_all,Sync VBA,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
export_all,Sync VBA,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
export_all,Sync VBA,write-capable,filter,string,False,,,functional,Test or object filter.
export_all,Sync VBA,write-capable,diff,boolean,False,,,common,Include a diff when supported.
export_all,Sync VBA,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
export_all,Sync VBA,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
export_all,Sync VBA,write-capable,prune,boolean,False,,,functional,"Mirror mode. For export_all: after a fully clean export, delete on-disk source files (.bas/.cls/.form.txt/.report.txt) whose module no longer exists in the binary, so the destination mirrors the binary. NEVER prunes if the export reported any warning. For import_all: before importing, delete binary modules absent from managed source so the binary mirrors source. Saved queries are never pruned. Default false."
export_all,Sync VBA,write-capable,exportPath,string,False,,,functional,Export path.
export_all,Sync VBA,write-capable,verbose,boolean,False,,,functional,"When true, the response includes per-module source/destination line counts, byte counts, sha256 hashes, and a `truncated` boolean. Recommended after any import_modules of a module that already exists in the binary, since AddFromFile truncates silently when the pre-existing module's CountOfLines caps the new content."
export_all,Sync VBA,write-capable,confirmOverwriteSource,boolean,False,,,functional,Issue #785 — opt-in acknowledgment that the export destination may overwrite the project's source root. Required when the destination overlaps the active source root under developer mode + execute path; ignored otherwise.
export_all,Sync VBA,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
export_modules,Sync VBA,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
export_modules,Sync VBA,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
export_modules,Sync VBA,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
export_modules,Sync VBA,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
export_modules,Sync VBA,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
export_modules,Sync VBA,write-capable,projectRoot,string,False,,,common,Optional override for project root.
export_modules,Sync VBA,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
export_modules,Sync VBA,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
export_modules,Sync VBA,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
export_modules,Sync VBA,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
export_modules,Sync VBA,write-capable,moduleNames,array,False,,,functional,VBA module names. No hard length cap — long lists (20-30+) are accepted; the import path emits one per-module entry in the structured report so consumers can pinpoint which entry failed and why. An empty array is a valid explicit no-op plan and is NOT silently expanded to import-all.
export_modules,Sync VBA,write-capable,filter,string,False,,,functional,Test or object filter.
export_modules,Sync VBA,write-capable,exportPath,string,False,,,functional,Export path.
export_modules,Sync VBA,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
export_modules,Sync VBA,write-capable,diff,boolean,False,,,common,Include a diff when supported.
export_modules,Sync VBA,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
export_modules,Sync VBA,write-capable,mutateBinary,boolean,False,,,functional,Issue #1065 - defaults to false. Export runs against a disposable copy so Access cannot mutate the original .accdb. Set true only to preserve the legacy direct-binary behavior. The response always reports binaryMutated.
export_modules,Sync VBA,write-capable,verbose,boolean,False,,,functional,"When true, the response includes per-module source/destination line counts, byte counts, sha256 hashes, and a `truncated` boolean. Recommended after any import_modules of a module that already exists in the binary, since AddFromFile truncates silently when the pre-existing module's CountOfLines caps the new content."
export_modules,Sync VBA,write-capable,confirmOverwriteSource,boolean,False,,,functional,Issue #785 — opt-in acknowledgment that the export destination may overwrite the project's source root. Required when the destination overlaps the active source root under developer mode + execute path; ignored otherwise.
export_modules,Sync VBA,write-capable,allowExternalAccessPath,boolean,False,,,functional,"Issue #968 — opt-in acknowledgment that the supplied accessPath lives outside the active worktree. Honored only by read-only-side tools (`export_modules`, `list_objects`, `list_vba_modules`, `verify_code`); ignored for binary-mutating tools. Default false preserves current behavior."
export_modules,Sync VBA,write-capable,transactional,boolean,False,,,functional,"Issue #975 — transactional mode. Copies the binary to a staging directory, runs the write against the copy, runs post-write verification (when applicable), and atomically renames the copy back to the original on success. On any failure the copy is deleted and the original is untouched. Default false."
export_modules,Sync VBA,write-capable,dryRunWithPreflight,boolean,False,,,functional,"Issue #977 — run the same pre-flight checks as apply:true (filesystem, runtime, capabilities, project config) WITHOUT committing any write. Mutually exclusive with `dryRun` and `apply`. A failed preflight returns the specific errorCode from the taxonomy (#962); a successful preflight returns ok:true with a preflight summary. Default false."
export_modules,Sync VBA,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
export_queries,Queries guardadas,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
export_queries,Queries guardadas,read-only,contextId,string,False,,,common,Optional run/context id for this call.
export_queries,Queries guardadas,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
export_queries,Queries guardadas,read-only,target,enum,False,,frontend,functional,"This operation is frontend-only. Omit target to use the configured accessPath, or pass target:'frontend' to make the role explicit. backend and auto are invalid."
export_queries,Queries guardadas,read-only,exportPath,string,False,,,functional,Export path.
export_queries,Queries guardadas,read-only,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
find_references,Análisis VBA,read-only,projectId,string,False,,,common,Canonical project identity for traceability. Prefer the Engram project name when available. Paths and roots still come from .dysflow/project.json unless explicitly overridden.
find_references,Análisis VBA,read-only,contextId,string,False,,,common,Optional run/context id for this call. Do not duplicate projectId when it has the same value; use this only for a distinct execution context or as a fallback when no projectId is known.
find_references,Análisis VBA,read-only,symbol,string,True,,,functional,The name of the symbol to search references for.
find_references,Análisis VBA,read-only,scope,enum,False,,module | binary | source | all,functional,"Search scope: module, binary, source, or all. Defaults to all."
find_references,Análisis VBA,read-only,limit,number,False,,,functional,Maximum references to return in a single response. Defaults to 500 when omitted. Hard ceiling is 1000.
find_references,Análisis VBA,read-only,offset,number,False,,,functional,Pagination offset (number of references to skip). Defaults to 0. Use `nextOffset` from the previous response to continue paging.
find_references,Análisis VBA,read-only,module,string,False,,,functional,Optional module name constraint. Restricts search to this module only.
find_references,Análisis VBA,read-only,modules,object,False,,,functional,Optional in-memory mapping of module names to source code.
find_references,Análisis VBA,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
find_references,Análisis VBA,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
find_references,Análisis VBA,read-only,destinationRoot,string,False,,,common,Optional override for source/export root.
find_references,Análisis VBA,read-only,projectRoot,string,False,,,common,Optional override for project root.
find_references,Análisis VBA,read-only,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
find_references,Análisis VBA,read-only,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
find_references,Análisis VBA,read-only,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
find_references,Análisis VBA,read-only,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
fix_encoding,Sync VBA,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
fix_encoding,Sync VBA,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
fix_encoding,Sync VBA,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
fix_encoding,Sync VBA,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
fix_encoding,Sync VBA,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
fix_encoding,Sync VBA,write-capable,projectRoot,string,False,,,common,Optional override for project root.
fix_encoding,Sync VBA,write-capable,location,string,False,,,functional,Encoding fix location.
fix_encoding,Sync VBA,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
fix_encoding,Sync VBA,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_add_control,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_add_control,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_add_control,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_add_control,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_add_control,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_add_control,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_add_control,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_add_control,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_add_control,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_add_control,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_add_control,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_add_control,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_add_control,UI de formularios,write-capable,controlName,string,True,,,functional,Control name.
form_add_control,UI de formularios,write-capable,controlType,string,True,,,functional,Control type.
form_add_control,UI de formularios,write-capable,type,string,False,,,functional,Control type alias.
form_add_control,UI de formularios,write-capable,targetSectionName,string,False,,,functional,Optional target section/container name for a new form control.
form_add_control,UI de formularios,write-capable,properties,object,False,,,functional,Control properties to write to the form source.
form_add_control,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_add_control,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_add_control,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_add_control,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_align_controls,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_align_controls,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_align_controls,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_align_controls,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_align_controls,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_align_controls,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_align_controls,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_align_controls,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_align_controls,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_align_controls,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_align_controls,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_align_controls,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_align_controls,UI de formularios,write-capable,controlNames,array,True,,,functional,List of control names to align. Order is ignored; the median of the selection is used. The adapter also accepts a comma-separated string and normalizes it to an array.
form_align_controls,UI de formularios,write-capable,edge,enum,True,,left | right | top | bottom | center-horizontal | center-vertical,functional,Which edge / center to align on. 'left'/'right'/'center-horizontal' move Left; 'top'/'bottom'/'center-vertical' move Top.
form_align_controls,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_align_controls,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_align_controls,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_align_controls,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_delete_control,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_delete_control,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_delete_control,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_delete_control,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_delete_control,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_delete_control,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_delete_control,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_delete_control,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_delete_control,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_delete_control,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_delete_control,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_delete_control,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_delete_control,UI de formularios,write-capable,controlName,string,True,,,functional,Control name.
form_delete_control,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_delete_control,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_delete_control,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_delete_control,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_deserialize,Artefactos form/report,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_deserialize,Artefactos form/report,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_deserialize,Artefactos form/report,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_deserialize,Artefactos form/report,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_deserialize,Artefactos form/report,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_deserialize,Artefactos form/report,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_deserialize,Artefactos form/report,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_deserialize,Artefactos form/report,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_deserialize,Artefactos form/report,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_deserialize,Artefactos form/report,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_deserialize,Artefactos form/report,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_deserialize,Artefactos form/report,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_deserialize,Artefactos form/report,write-capable,formName,string,False,,,functional,Optional form name; derived from the sourcePath filename when omitted.
form_deserialize,Artefactos form/report,write-capable,ir,object,True,,,functional,FormIR (parsed by parseFormTxt). Pass an existing FormIR; the tool re-serializes it with serializeFormTxt and writes the result. The IR contract is the slice-1 FormIR model (name/kind/preamble/root/codeBehind).
form_deserialize,Artefactos form/report,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_deserialize,Artefactos form/report,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_deserialize,Artefactos form/report,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_deserialize,Artefactos form/report,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_distribute_controls,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_distribute_controls,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_distribute_controls,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_distribute_controls,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_distribute_controls,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_distribute_controls,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_distribute_controls,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_distribute_controls,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_distribute_controls,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_distribute_controls,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_distribute_controls,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_distribute_controls,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_distribute_controls,UI de formularios,write-capable,controlNames,array,True,,,functional,List of control names to distribute. Order is ignored; controls are sorted by their axis position internally. The adapter also accepts a comma-separated string and normalizes it to an array.
form_distribute_controls,UI de formularios,write-capable,axis,enum,True,,horizontal | vertical,functional,Which axis to distribute along. 'horizontal' moves Left; 'vertical' moves Top.
form_distribute_controls,UI de formularios,write-capable,spacing,number,False,,,functional,"Optional exact gap (twips) between consecutive control edges. When omitted, distributes across the bounding box of the selection."
form_distribute_controls,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_distribute_controls,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_distribute_controls,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_distribute_controls,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_duplicate_control,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_duplicate_control,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_duplicate_control,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_duplicate_control,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_duplicate_control,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_duplicate_control,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_duplicate_control,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_duplicate_control,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_duplicate_control,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_duplicate_control,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_duplicate_control,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_duplicate_control,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_duplicate_control,UI de formularios,write-capable,sourceControlName,string,True,,,functional,Name of the control to clone. Must exist in the parsed FormIR (FORM_DUPLICATE_SOURCE_MISSING otherwise).
form_duplicate_control,UI de formularios,write-capable,newName,string,True,,,functional,"Name for the cloned control. Must NOT collide with any existing control (FORM_DUPLICATE_CONTROL otherwise). When the source carries a GUID blob, the clone receives a fresh GUID deterministically derived from the form and source/new control identities; the source GUID is never copied verbatim (#1032)."
form_duplicate_control,UI de formularios,write-capable,targetSectionName,string,False,,,functional,"Optional Access section name (e.g. 'Detalle', 'FormHeader') to push the clone into. Defaults to the form root's default control container when omitted."
form_duplicate_control,UI de formularios,write-capable,overrides,object,False,,,functional,"Optional map of property name → scalar value applied AFTER the deep-clone. Same per-key guards as form_set_properties: 'Name' is ignored (identity is always `newName`), protected/metadata keys throw FORM_PROPERTY_PROTECTED, blob-kind entries refuse scalar replacement, LayoutCached* keys are silently dropped (#872 F3)."
form_duplicate_control,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_duplicate_control,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_duplicate_control,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_duplicate_control,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_get_geometry,UI de formularios,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
form_get_geometry,UI de formularios,read-only,contextId,string,False,,,common,Optional run/context id for this call.
form_get_geometry,UI de formularios,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
form_get_geometry,UI de formularios,read-only,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_get_geometry,UI de formularios,read-only,formName,string,False,,,functional,Optional form/report name (e.g. 'Form_Customer'). Used with projectId.
form_get_geometry,UI de formularios,read-only,name,string,False,,,functional,Alias for formName.
form_get_geometry,UI de formularios,read-only,controlName,string,True,,,functional,Name of the control whose geometry to read. Returns FORM_CONTROL_NOT_FOUND if the control does not exist in the parsed FormIR.
form_list_controls,UI de formularios,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
form_list_controls,UI de formularios,read-only,contextId,string,False,,,common,Optional run/context id for this call.
form_list_controls,UI de formularios,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
form_list_controls,UI de formularios,read-only,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_list_controls,UI de formularios,read-only,formName,string,False,,,functional,Optional form/report name (e.g. 'Form_Customer'). Used with projectId.
form_list_controls,UI de formularios,read-only,name,string,False,,,functional,Alias for formName.
form_list_controls,UI de formularios,read-only,section,string,False,,,functional,"Optional section name to scope the listing (e.g. 'Detail', 'FormHeader'). When omitted, every named control in the form is returned."
form_list_controls,UI de formularios,read-only,limit,number,False,1000,,functional,"Maximum controls to return. Hard ceiling is 5000; default is 1000. When the matched inventory exceeds the limit, the response sets `truncated: true` and includes `totalCount` with the full match count so the caller can paginate."
form_move_control,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_move_control,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_move_control,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_move_control,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_move_control,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_move_control,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_move_control,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_move_control,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_move_control,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_move_control,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_move_control,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_move_control,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_move_control,UI de formularios,write-capable,controlName,string,True,,,functional,Control name.
form_move_control,UI de formularios,write-capable,left,number,False,,,functional,Control Left coordinate in Access twips.
form_move_control,UI de formularios,write-capable,top,number,False,,,functional,Control Top coordinate in Access twips.
form_move_control,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_move_control,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_move_control,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_move_control,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_rename_control,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
form_rename_control,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
form_rename_control,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
form_rename_control,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
form_rename_control,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
form_rename_control,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
form_rename_control,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
form_rename_control,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
form_rename_control,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
form_rename_control,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
form_rename_control,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
form_rename_control,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
form_rename_control,UI de formularios,write-capable,controlName,string,True,,,functional,Control name.
form_rename_control,UI de formularios,write-capable,newName,string,True,,,functional,New control name.
form_rename_control,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
form_rename_control,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
form_rename_control,UI de formularios,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
form_rename_control,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
form_serialize,Artefactos form/report,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
form_serialize,Artefactos form/report,read-only,contextId,string,False,,,common,Optional run/context id for this call.
